"Mo-Mac" "LAM" "PVM" "IM"
"1103" 26.0393873085339 15.4266958424508 30.8533916849015 27.6805251641138
"1107" 14.4927536231884 32.8502415458937 11.3526570048309 41.304347826087
"1108" 12.6760563380282 21.1267605633803 29.5774647887324 36.6197183098592
"1109" 77.7777777777778 0 22.2222222222222 0
"1112" 23.3333333333333 11.1111111111111 44.4444444444444 21.1111111111111
"1113" 23.9179954441913 14.5785876993166 35.7630979498861 25.7403189066059
"1117" 19.5266272189349 7.69230769230769 62.7218934911243 10.0591715976331
"1126" 12.2758620689655 12.551724137931 57.5172413793103 17.6551724137931
"1132" 32.5581395348837 32.5581395348837 20.9302325581395 13.953488372093
"1135" 21.1267605633803 8.62676056338028 54.5774647887324 15.669014084507
"1136" 6.03448275862069 16.3793103448276 59.051724137931 18.5344827586207
"1137" 32.5 11.6666666666667 40.8333333333333 15
"1138" 23.6577181208054 10.4026845637584 47.4832214765101 18.4563758389262
"1139" 22.1354166666667 12.7604166666667 54.1666666666667 10.9375
"1141" 16.4893617021277 10.8156028368794 42.0212765957447 30.6737588652482
"1147" 9.6 30.4 8 52
"1149" 7.69230769230769 15.3846153846154 46.1538461538462 30.7692307692308
"1151" 24.1573033707865 30.8988764044944 11.2359550561798 33.7078651685393
"1155" 22.3529411764706 25.4901960784314 11.7647058823529 40.3921568627451
"1157" 18.3006535947712 19.6078431372549 45.7516339869281 16.3398692810458
"1158" 31.6083916083916 13.006993006993 29.9300699300699 25.4545454545455
"1159" 25.69558101473 6.0556464811784 51.5548281505728 16.6939443535188
"1161" 25.5364806866953 9.87124463519313 40.5579399141631 24.0343347639485
"1165" 0 18.1818181818182 63.6363636363636 18.1818181818182
"1167" 26.4705882352941 11.7647058823529 52.9411764705882 8.82352941176471
"1172" 20 0 80 0
"1175" 17.5853018372703 16.010498687664 30.4461942257218 35.9580052493438
"1176" 3.55555555555556 23.5555555555556 16 56.8888888888889
"1180" 40.5405405405405 2.7027027027027 24.3243243243243 32.4324324324324
"1181" 26.9230769230769 4.94505494505495 62.0879120879121 6.04395604395604
"1182" 19.6428571428571 38.3928571428571 12.5 29.4642857142857
"2107" 12.5 39.3292682926829 12.8048780487805 35.3658536585366
"2108" 25.2545824847251 27.0875763747454 21.5885947046843 26.0692464358452
"2110" 23.448275862069 28.2758620689655 22.0689655172414 26.2068965517241
"2111" 12.4620060790274 29.6859169199595 24.822695035461 33.0293819655522
"2112" 10.4010876954453 35.8939496940857 10.8769544527532 42.8280081577158
"2113" 21.1864406779661 30.5084745762712 16.9491525423729 31.3559322033898
"2114" 16.3763066202091 27.1777003484321 29.616724738676 26.8292682926829
