"Fibro-adipogenic" "Lymphoid" "Myeloid" "Vascular"
"1103" 24.0584038493446 20.2422432387589 52.8455284552846 2.85382445661191
"1107" 18.8679245283019 12.8103277060576 34.0119165839126 34.3098311817279
"1108" 19.6078431372549 40.3921568627451 22.6143790849673 17.3856209150327
"1109" 15.2985074626866 34.452736318408 43.5323383084577 6.71641791044776
"1112" 19.5480225988701 32.6553672316384 41.1299435028249 6.66666666666667
"1113" 19.6798493408663 36.7702448210923 43.0790960451977 0.470809792843691
"1117" 19.4886637723107 48.6734201640135 30.8731307284129 0.964785335262904
"1126" 23.0411686586985 29.6148738379814 44.0571049136786 3.28685258964143
"1132" 7.03161868806041 60.7361963190184 32.0434167059934 0.188768286927796
"1135" 33.6459554513482 22.0984759671747 41.6764361078546 2.57913247362251
"1136" 20.9694052939154 53.7985562048814 15.6754898590581 9.55654864214507
"1137" 5.24590163934426 50 43.9890710382514 0.765027322404372
"1138" 35.7354685646501 18.6832740213523 32.2064056939502 13.3748517200475
"1139" 19.7364480383348 46.5408805031447 30.4582210242588 3.26445043426176
"1141" 36.4295580110497 13.0524861878453 49.585635359116 0.93232044198895
"1147" 17.8506375227687 10.2263856362217 5.10018214936248 66.8227946916471
"1149" 26.9461077844311 17.9640718562874 25.748502994012 29.3413173652695
"1151" 22.6352746798843 6.11317637339942 6.79471292854193 64.4568360181743
"1155" 19.695889760038 10.5725825611784 11.7605131860299 57.9710144927536
"1157" 52.9506610770719 6.90099967752338 8.90035472428249 31.2479845211222
"1158" 38.8429752066116 9.24586776859504 26.1880165289256 25.7231404958678
"1159" 34.8054679284963 14.4759901857694 18.2264283210655 32.4921135646688
"1161" 36.4618501012829 4.6139995498537 13.7744767049291 45.1496736439343
"1165" 14.6428571428571 28.2142857142857 8.92857142857143 48.2142857142857
"1167" 29.1139240506329 3.8370253164557 2.80854430379747 64.2405063291139
"1172" 10.472972972973 16.8918918918919 3.37837837837838 69.2567567567568
"1175" 27.7433877321328 20.9341586944288 25.267304445695 26.0551491277434
"1176" 25.0887573964497 8.32347140039448 12.8205128205128 53.767258382643
"1180" 5.77956989247312 30.5779569892473 29.9059139784946 33.7365591397849
"1181" 6.25534096735601 12.203042215006 7.14407793539566 74.3975388822424
"1182" 22.1902017291066 31.8443804034582 44.3083573487032 1.65706051873199
"2107" 22.2297756628144 1.40493995014729 11.4434624971675 64.9218218898708
"2108" 25.6166161834704 2.1924130967835 11.2649646617626 60.9260060579836
"2110" 56.6498316498316 8.41750841750842 24.2424242424242 10.6902356902357
"2111" 35.0314825414997 5.32341156267888 27.2467086433887 32.3983972524327
"2112" 39.405527550843 1.68607682948027 34.1039457674257 24.804449852251
"2113" 41.766418634746 9.73794888385636 30.18440634099 18.3112261404076
"2114" 40.4049561801148 3.2940465397401 16.6515563614385 39.6494409187066
"2116" 23.8562091503268 6.97167755991285 13.2897603485839 55.8823529411765
"3007" 17.861482381531 49.6354799513973 32.3815309842041 0.121506682867558
"3011" 80.9561128526646 0.54858934169279 18.064263322884 0.431034482758621
"3012" 18.1818181818182 42.3140495867769 37.5867768595041 1.91735537190083
"3013" 5.94648166501487 61.9425173439049 32.1110009910803 0
"3014" 7.54462782081509 63.2199393735264 28.6291680700573 0.606264735601213
"3015" 40 18.0769230769231 23.4615384615385 18.4615384615385
"3018" 44.2508710801394 16.7564143173899 12.0367437440608 26.9559708584099
"3019" 33.208722741433 17.1339563862928 24.3613707165109 25.2959501557632
"3020" 35.5284743379423 8.67119756269041 3.96062807593157 51.8397000234357
"3021" 44.3372564152036 5.46015820953116 14.7983793169979 35.4042060582674
"3022" 12.9364625071551 14.8444953253196 19.7863003243656 52.4327418431597
"3023" 37.856829161177 24.5059288537549 21.0364514712341 16.600790513834
"3024" 39.945652173913 22.3369565217391 26.6032608695652 11.1141304347826
"3026" 27.1739130434783 29.8136645962733 25.4658385093168 17.5465838509317
"3028" 25.8994062172546 18.7216206776109 14.0062871114216 41.3726859937129
"3029" 52.1728016359918 0.408997955010225 11.8865030674847 35.5316973415133
"3031" 42.2862453531598 0.325278810408922 21.5148698884758 35.8736059479554
"3032" 29.465221950367 11.534428521496 17.6861237329605 41.3142257951765
"3035" 19.8347107438017 9.40877304513668 20.4068658614113 50.3496503496504
"3037" 37.4376039933444 6.65557404326123 55.0748752079867 0.831946755407654
"5001" 51.6666666666667 8.42592592592593 36.2037037037037 3.7037037037037
"5002" 73.439099283521 3.32650972364381 15.4298874104401 7.80450358239509
"5003" 58.2083502229428 4.56019456830158 8.99878394811512 28.2326712606405
"5004" 29.0131578947368 14.7368421052632 26.0526315789474 30.1973684210526
"5005" 44.3591532914631 1.41893463596185 15.7013258897418 38.5205861828332
"5008" 34.4700768973587 6.88732865262454 9.72918756268806 48.9134068873287
"5009" 36.0229676639468 0.99728014505893 34.7537020247809 28.2260501662134
"5010" 45.0232764353802 16.116160496564 22.7887386388827 16.0718244291731
"5011" 45.2975920036347 7.2694229895502 13.2894139027715 34.1435711040436
"5012" 56.7587476979742 6.3720073664825 13.4069981583794 23.4622467771639
"5013" 45.3825857519789 16.622691292876 24.7361477572559 13.2585751978892
"5015" 24.86144101346 32.8582739509105 38.479809976247 3.80047505938242
"5016" 34.6280991735537 25.6749311294766 27.603305785124 12.0936639118457
"5017" 49.6560350218887 4.12757973733583 19.1994996873046 27.0168855534709
"5018" 29.4745484400657 1.80623973727422 49.2610837438424 19.4581280788177
"5019" 43.1910569105691 1.21951219512195 19.4105691056911 36.1788617886179
