"Lymphoid" "Myeloid" "Stromal" "Vascular"
"1103" 20.4534253326762 52.9160505996386 23.7391161491704 2.89140791851487
"1107" 14.0517696777602 37.2424722662441 20.2852614896989 28.4204965662969
"1108" 42.4870466321244 22.5388601036269 19.559585492228 15.4145077720207
"1109" 35.6617647058824 43.1372549019608 15.4411764705882 5.75980392156863
"1112" 34.4243792325056 41.196388261851 19.5259593679458 4.85327313769752
"1113" 37.1047083626142 43.0780042164441 19.5127664558445 0.304520965097212
"1117" 48.9270386266094 30.758226037196 19.31330472103 1.00143061516452
"1126" 30.2485284499673 44.375408763898 22.7272727272727 2.648790058862
"1132" 61.6268382352941 31.2040441176471 6.89338235294118 0.275735294117647
"1135" 22.4883177570093 41.5595794392523 33.4988317757009 2.45327102803738
"1136" 55.1189245087901 16.2357807652534 21.1651154774216 7.48017924853499
"1137" 50.8073196986007 43.4337997847148 5.16684607104413 0.592034445640474
"1138" 19.2572626534891 32.8541479484876 36.0587002096436 11.8298891883798
"1139" 47.3166368515206 30.4710793082886 19.6779964221825 2.53428741800835
"1141" 13.8445877163217 49.4401085850017 36.104513064133 0.610790634543604
"1147" 12.0679554774458 5.7410661980082 20.3573520796719 61.8336262448741
"1149" 18.75 26.25 28.75 26.25
"1151" 6.66666666666667 7.29847494553377 24.0958605664488 61.9389978213508
"1155" 11.5305598356446 12.8402670775552 21.391884951207 54.2372881355932
"1157" 7.69230769230769 9.81552384267316 57.4312565262791 25.06091193874
"1158" 10.1012793176972 27.3987206823028 40.2185501066098 22.2814498933902
"1159" 15.9073935772965 19.7162061239731 37.3412994772218 27.0351008215086
"1161" 5.5673947789025 16.4091635588705 43.3937133724028 34.6297282898242
"1165" 30.4832713754647 8.92193308550186 14.4981412639405 46.0966542750929
"1167" 5.46038543897216 3.85438972162741 39.0792291220557 51.6059957173448
"1172" 17.4657534246575 3.42465753424658 10.6164383561644 68.4931506849315
"1175" 22.3827779416101 26.5408434090239 28.870539663816 22.20583898555
"1176" 10.3751736915239 15.3311718388143 29.7823066234368 44.5113478462251
"1180" 32.8767123287671 30.6849315068493 6.0958904109589 30.3424657534247
"1181" 13.8467234357645 7.90447982228804 6.83080340614587 71.4179933358016
"1182" 32.5762952448545 43.7899219304471 22.2143364088006 1.4194464158978
"2107" 2.54210359072132 16.6825548141087 32.2211630123928 48.5541785827772
"2108" 2.63681592039801 12.9850746268657 29.9170812603648 54.4610281923715
"2110" 11.354079058032 25.6518082422204 57.0227081581161 5.97140454163162
"2111" 6.05743030811151 30.4338713058059 38.3776985956822 25.1309997904003
"2112" 2.24095000957671 38.6132924727064 44.1294771116644 15.0162804060525
"2113" 10.3754940711462 31.4229249011858 42.9183135704875 15.2832674571805
"2114" 4.14910858995138 18.3144246353323 45.2512155591572 32.2852512155592
"2116" 9.7841726618705 18.273381294964 31.5107913669065 40.431654676259
"3007" 50.1490757304711 32.0810971973763 17.7101967799642 0.0596302921884317
"3011" 0.544323483670295 18.0793157076205 81.104199066874 0.272161741835148
"3012" 42.8337696335078 37.205497382199 17.9973821989529 1.96335078534031
"3013" 62.9951690821256 31.207729468599 5.79710144927536 0
"3014" 64.0235910878113 28.1127129750983 7.3394495412844 0.524246395806029
"3015" 19.5121951219512 25.2032520325203 41.869918699187 13.4146341463415
"3018" 17.8233438485804 12.4605678233438 44.2902208201893 25.4258675078864
"3019" 18.8137755102041 25.6377551020408 34.0561224489796 21.4923469387755
"3020" 9.93945509586277 4.43995963673058 38.5973763874874 47.0232088799193
"3021" 6.12579389469371 16.0827699241959 47.2034419176398 30.5879942634706
"3022" 18.7160726929431 24.5928723153174 15.9546849185745 40.736370073165
"3023" 25.277654375833 21.235006663705 38.1163927143492 15.3709462461128
"3024" 22.8991025292358 27.1144955126462 39.9510470492249 10.0353549088931
"3026" 31.1708860759494 25.6329113924051 27.5316455696203 15.6645569620253
"3028" 19.8155848851925 14.843608750678 26.9933104321099 38.3474959320195
"3029" 0.444691495275153 13.1739855475264 57.5597554196776 28.8215675375208
"3031" 0.436442989634479 25.3136933987998 49.4817239498091 24.7681396617567
"3032" 13.4684147794994 20.6197854588796 33.8100913786253 32.1017083829956
"3035" 11.1851851851852 24.1481481481481 23.6296296296296 41.037037037037
"3037" 6.87397708674304 55.810147299509 36.8248772504092 0.490998363338789
