"Lymphoid" "Myeloid" "Stromal" "Vascular"
"1103" 20.5779188241189 52.7643226991816 23.935192917989 2.72256555871054
"1107" 14.5294441386901 37.4793615850303 20.8035222894882 27.1876719867914
"1108" 42.5444596443228 23.2558139534884 19.1518467852257 15.0478796169631
"1109" 35.6060606060606 44.1919191919192 15.1515151515152 5.05050505050505
"1112" 34.2497136311569 41.4662084765178 19.7021764032073 4.58190148911798
"1113" 37.0807746811526 43.0562116202173 19.5559754369391 0.307038261691072
"1117" 48.743961352657 30.8695652173913 19.4202898550725 0.966183574879227
"1126" 30.4260315330426 44.2468970144247 22.8782287822878 2.44884267024488
"1132" 61.0009442870633 31.9169027384325 6.84608120868744 0.236071765816808
"1135" 22.386296515062 41.6125221500295 33.6385115180154 2.36266981689309
"1136" 55.5869872701556 16.1951909476662 21.5346534653465 6.68316831683168
"1137" 50.4362050163577 43.8386041439477 5.12540894220284 0.599781897491821
"1138" 19.5278969957082 32.8939301042305 36.4500306560392 11.1281422440221
"1139" 47.5022706630336 30.5479866787769 19.648804117469 2.30093854072056
"1141" 13.2127955493741 49.6522948539638 36.5438108484006 0.591098748261474
"1147" 12.3321885732126 6.05682172962847 21.2925382453949 60.318451451764
"1149" 18.7096774193548 26.4516129032258 29.0322580645161 25.8064516129032
"1151" 6.72212230215827 7.39658273381295 24.3255395683453 61.5557553956835
"1155" 11.861265554673 13.0526873179772 21.7103521313212 53.3756949960286
"1157" 7.69230769230769 9.80322003577817 58.0679785330948 24.4364937388193
"1158" 9.96126175982291 27.5594908688434 41.0348644161594 21.4443829551743
"1159" 16.1529457666797 19.9375731564573 38.02184939524 25.8876316816231
"1161" 5.8244231851435 16.9949352841868 45.3010692177828 31.8795723128869
"1165" 31.25 9.375 15.234375 44.140625
"1167" 5.25139664804469 3.85474860335196 39.7765363128492 51.1173184357542
"1172" 19.1729323308271 3.7593984962406 11.2781954887218 65.7894736842105
"1175" 23.0110159118727 27.2643818849449 29.5899632802938 20.1346389228886
"1176" 10.7372587827808 15.8337456704602 30.6284017812964 42.8005937654626
"1180" 32.8336902212705 31.6916488222698 5.9243397573162 29.5503211991435
"1181" 13.8244392884764 7.98530549110596 6.84454756380511 71.3457076566125
"1182" 32.1997105643994 44.5007235890014 21.9971056439942 1.30246020260492
"2107" 2.46176799701604 18.7243565833644 35.9567325624767 42.8571428571429
"2108" 2.62559075792053 13.5130404340977 30.8419394363732 53.0194293716086
"2110" 9.26430517711172 26.2488646684832 58.8555858310627 5.63124432334242
"2111" 6.09092886665216 30.9114639982597 39.5257776810964 23.4718294539917
"2112" 2.08855472013367 40.7477025898079 45.2172096908939 11.9465329991646
"2113" 10.1493550577054 31.8397827562797 43.5845213849287 14.4263408010862
"2114" 3.97137745974955 19.5706618962433 46.0107334525939 30.4472271914132
"2116" 10.6750392464678 19.1522762951334 33.7519623233909 36.4207221350078
