"Var1" "Freq"
"1" "1103" 397
"2" "1107" 68
"3" "1108" 113
"4" "1109" 130
"5" "1112" 66
"6" "1113" 402
"7" "1117" 274
"8" "1126" 243
"9" "1132" 566
"10" "1135" 209
"11" "1136" 805
"12" "1137" 409
"13" "1138" 176
"14" "1139" 653
"15" "1141" 84
"16" "1147" 73
"17" "1149" 5
"18" "1151" 58
"19" "1155" 40
"20" "1157" 42
"21" "1158" 113
"22" "1159" 280
"23" "1161" 33
"24" "1165" 9
"25" "1167" 35
"26" "1172" 4
"27" "1175" 243
"28" "1176" 111
"29" "1180" 222
"30" "1181" 129
"31" "1182" 90
"32" "2107" 7
"33" "2108" 44
"34" "2110" 12
"35" "2111" 87
"36" "2112" 41
"37" "2113" 144
"38" "2114" 37
"39" "2116" 12
"40" "3007" 329
"41" "3011" 2
"42" "3012" 386
"43" "3013" 356
"44" "3014" 566
"45" "3015" 10
"46" "3018" 200
"47" "3019" 128
"48" "3020" 83
"49" "3021" 87
"50" "3022" 127
"51" "3023" 221
"52" "3024" 302
"53" "3026" 41
"54" "3028" 359
"55" "3029" 2
"56" "3031" 0
"57" "3032" 102
"58" "3035" 25
"59" "3037" 18
"60" "5001" 52
"61" "5002" 38
"62" "5003" 53
"63" "5004" 93
"64" "5005" 14
"65" "5008" 77
"66" "5009" 1
"67" "5010" 230
"68" "5011" 112
"69" "5012" 12
"70" "5013" 53
"71" "5015" 111
"72" "5016" 206
"73" "5017" 7
"74" "5018" 4
"75" "5019" 0
"76" "5020" 9
"77" "5021" 0
"78" "5022" 36
"79" "5024" 81
"80" "5026" 1
"81" "5027" 35
"82" "5028" 0
"83" "5029" 38
"84" "5030" 96
"85" "5031" 3
"86" "5032" 31
"87" "5033" 31
"88" "5034" 4
"89" "5036" 7
"90" "5037" 3
"91" "5038" 1
"92" "1101" 0
"93" "1102" 0
"94" "1104" 0
"95" "1105" 0
"96" "1106" 0
"97" "1110" 0
"98" "1111" 0
"99" "1114" 0
"100" "1115" 0
"101" "1116" 0
"102" "1118" 0
"103" "1119" 0
"104" "1120" 0
"105" "1122" 0
"106" "1123" 0
"107" "1125" 0
"108" "1127" 0
"109" "1128" 0
"110" "1129" 0
"111" "1130" 0
"112" "1131" 0
"113" "1133" 0
"114" "1142" 0
"115" "1143" 0
"116" "1146" 0
"117" "1150" 0
"118" "1152" 0
"119" "1153" 0
"120" "1154" 0
"121" "1156" 0
"122" "1160" 0
"123" "1162" 0
"124" "1163" 0
"125" "1164" 0
"126" "1166" 0
"127" "1168" 0
"128" "1169" 0
"129" "1170" 0
"130" "1171" 0
"131" "1173" 0
"132" "1174" 0
"133" "1178" 0
"134" "1179" 0
"135" "2101" 0
"136" "2102" 0
"137" "2103" 0
"138" "2104" 0
"139" "2105" 0
"140" "2106" 0
"141" "2109" 0
"142" "2115" 0
"143" "2117" 0
"144" "2118" 0
"145" "2120" 0
"146" "2121" 0
"147" "2122" 0
"148" "2123" 0
"149" "2124" 0
"150" "3001" 0
"151" "3002" 0
"152" "3003" 0
"153" "3004" 0
"154" "3005" 0
"155" "3006" 0
"156" "3008" 0
"157" "3009" 0
"158" "3010" 0
"159" "3016" 0
"160" "3017" 0
"161" "3025" 0
"162" "3027" 0
"163" "3030" 0
"164" "3033" 0
"165" "3034" 0
"166" "3039" 0
"167" "5006" 0
"168" "5007" 0
"169" "5014" 0
"170" "5023" 0
"171" "5035" 0
"172" "6001" 0
